,,partners,,,,,contacts,,,,,partners_to_products,,,,,transfer_accounts,,,,,asset_categories,,,,,asset_groups,,,,,assets,,,,,place_groups,,,,places,
,,"Partner cégeket és annak adatait tároljuk le ebben a táblában. 
- Alap adatok
- Számlázási adatok 
- Szállítási adatok",,,,,"Partner cégeket Munkatársainak a ""tárolására alkalmas tábla""",,,,,"A cikktörzs és a partner közötti relációs tábla, amiben meghatározzuk, hogy melyik terméket mennyiért adunk el az adott vevőnek (soronként)",,,,,"baknszámlák tárolására alkalmas tábla. 
ha egy beszállítónak több pénznemben is van bankszámlája akkor azokat itt tároljuk le ",,,,,"ha felfelé szeretnénk bővíteni cikktörzs struktúráját, akkor az asset groupok fölé tudunk asset kategóriákat definiálni",,,,,"lényegében ez definiálja a ciggktörzset: 
Típus leíró sorok: adott cikk paraméterei 

a készletkezéls ezeket példányosítja",,,,,"ezt nem nagyon érdemes importálni, inkább az importált cikktörzs után a késlzeteket a felületen beállítani",,,,,épületek ,,,,,itt bármilyen dimenzióban lehet gondolkodni és bővíteni 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Épületek leító paraméterei,,,,Raktározási helyes QR küddal jelölve,
,,Alapadatok,,,,,Alapadatok,,,,,Egy reláció paraméterei,,,,,Partnerhez tartozó bankszámla adatai,,,,,Kategória leító tábla paraméterei,,,,,Cikktörzset leító paraméterei,,,,,Cikktörzsben definiált cikkek készlete - készletkezelés típusának megfelelően,,,,,name,épületek ,,,high_level_id,"RELÁCIÓS MEZŐ: ha vannak épületek definiálva, akkor azok alapján pontos egyezés kell"
,,name,STRING,Partner neve,,,last_name,STRING,keresztnév,,x,partner_id,UUID,"RELÁCIÓS MEZŐ - pontos egyezés kell a partner nevével
tartalom: mely partnernek adjuk a terméket",,x,partner_id,UUID or String,"RELÁCIÓS MEZŐ - pontos egyezés kell a partner nevével
tartalom: mely partnernek a bankszámlaszáma",,,name,STRING,"a kategóriákat egy elnevezéssel meg lehet adni, ezekre rá tud majd csatlakozni az asset group ",,x,asset_category_id,UUID,"RELÁCIÓS MEZŐ: ha vannak kategóriák definiálva, akkor azok alapján pontos egyezés",,,id,UUID,,,,,,,,mid_level,sor / oszlop
,,is_customer,BOOLEAN,ha vevő -> TRUE,,,first_name,STRING,vezetéknév,,x,asset_group_id,UUID,"RELÁCIÓS MEZŐ - pontos egyezés kell a ""cikk"" = asset group (magyarul termék csoport) nevével
tartalom: mely partnernél dolgozik",,,account_holder_name,String,név,,,,,,,,name,STRING,termék neve,,,name,STRING,,,,,,,,low_level,polc
,,is_reseller,BOOLEAN,ha viszonteladó -> TRUE,,x,partner_id,UUID,"RELÁCIÓS MEZŐ - pontos egyezés kell a partner nevével
tartalom: mely partnernél dolgozik",,,unit_price_below_min_order,NUMERIC,szerződés szerinti  alatti ár,,,currency,String,pénznem,,,,,,,,article_number,STRING,cikkszám - vizualizációra,,,parent_asset_id,UUID,,,,,,,,,
,,is_supplier,BOOLEAN,ha beszállító -> TRUE,,,phone,STRING,,,,minimum_order_quantity,NUMERIC,minimum rendlési mennyiség,,,account_number,String,bankszámlaszám,,,,,,,,description,STRING,termék leírás ( később webshopba),,,type,STRING,,,,,,,,itt bármilyen dimenzióban lehet gondolkodni és bővíteni ,
,,is_competitor,BOOLEAN,ha kompetitor -> TRUE,,,email,STRING,,,,unit_price,NUMERIC,ár ,,,account_type,String,business / personal,,,,,,,,is_trade_ready,BOOLEAN,eladjuk a terméket -> TRUE,,,category,STRING,,,,,,,,,
